city,province,latitude,longitude,population,id
Red Deer,Alberta,52.2681,-113.8111,100844,1124404130
Pickering,Ontario,43.8354,-79.0890,99186,1124781814
Lethbridge,Alberta,49.6942,-112.8328,98406,1124321200
Kamloops,British Columbia,50.6761,-120.3408,97902,1124735582
Saint-Jean-sur-Richelieu,Quebec,45.3167,-73.2667,97873,1124278447
Niagara Falls,Ontario,43.0600,-79.1067,94415,1124704011
Cape Breton,Nova Scotia,46.1389,-60.1931,93694,1124000383
Chilliwack,British Columbia,49.1577,-121.9509,93203,1124531262
Brossard,Quebec,45.4667,-73.4500,91525,1124655166
Maple Ridge,British Columbia,49.2167,-122.6000,90990,1124001699
Newmarket,Ontario,44.0500,-79.4667,87942,1124400266
Repentigny,Quebec,45.7333,-73.4667,86100,1124379778
Peterborough,Ontario,44.3000,-78.3167,84793,1124440356
Drummondville,Quebec,45.8833,-72.4833,79258,1124624283
Kawartha Lakes,Ontario,44.3500,-78.7500,79247,1124000852
New Westminster,British Columbia,49.2069,-122.9111,78916,1124196524
Prince George,British Columbia,53.9169,-122.7494,76708,1124733292
Caledon,Ontario,43.8667,-79.8667,76581,1124070007
Châteauguay,Quebec,45.3800,-73.7500,75891,1124437897
Belleville,Ontario,44.1667,-77.3833,75052,1124786959
Airdrie,Alberta,51.2917,-114.0144,74100,1124990202
Sarnia,Ontario,42.9994,-82.3089,73944,1124509835
Wood Buffalo,Alberta,57.6042,-111.3284,72326,1124001123
Sault Ste. Marie,Ontario,46.5333,-84.3500,72051,1124810690
Saint John,New Brunswick,45.2806,-66.0761,69895,1124631364
Welland,Ontario,42.9833,-79.2333,69302,1124745616
Granby,Quebec,45.4000,-72.7333,69025,1124502071
St. Albert,Alberta,53.6303,-113.6258,68232,1124850754
Fredericton,New Brunswick,45.9636,-66.6431,64614,1124061289
Grande Prairie,Alberta,55.1708,-118.7947,64141,1124505481
Medicine Hat,Alberta,50.0417,-110.6775,63382,1124303972
Halton Hills,Ontario,43.6300,-79.9500,62951,1124000788
Aurora,Ontario,44.0000,-79.4667,62057,1124085034
Port Coquitlam,British Columbia,49.2625,-122.7811,61498,1124473757
Mirabel,Quebec,45.6500,-74.0833,61108,1124182375
Blainville,Quebec,45.6700,-73.8800,59819,1124000623
Lac-Brome,Quebec,45.2167,-72.5167,58889,1124000579
North Vancouver,British Columbia,49.3201967175102,-123.069940224484,58120,1124000146
Saint-Hyacinthe,Quebec,45.6167,-72.9500,57239,1124010116
Beloeil,Quebec,45.5667,-73.2000,52959,1124469084
North Bay,Ontario,46.3000,-79.4500,52662,1124058496
Charlottetown,Prince Edward Island,46.2403,-63.1347,52390,1124897699
Vernon,British Columbia,50.2670,-119.2720,51896,1124553338
Brandon,Manitoba,49.8483,-99.9500,51313,1124239939
Mascouche,Quebec,45.7500,-73.6000,51183,1124001580
Stouffville,Ontario,43.9667,-79.2500,49864,1124207594
Shawinigan,Quebec,46.5667,-72.7500,49620,1124441118
Joliette,Quebec,46.0167,-73.4500,49246,1124841554
Rimouski,Quebec,48.4500,-68.5300,48935,1124433645
Courtenay,British Columbia,49.6878,-124.9944,48917,1124324905
Dollard-des-Ormeaux,Quebec,45.4833,-73.8167,48403,1124902278
Cornwall,Ontario,45.0275,-74.7400,47845,1124938303
Victoriaville,Quebec,46.0500,-71.9667,47760,1124149787
Georgina,Ontario,44.3000,-79.4333,47642,1124000048
Woodstock,Ontario,43.1306,-80.7467,46705,1124758374
Langford Station,British Columbia,48.4506,-123.5058,46584,1124095065
Quinte West,Ontario,44.1833,-77.5667,46560,1124001037
St. Thomas,Ontario,42.7750,-81.1833,45732,1124790209
Saint-Eustache,Quebec,45.5700,-73.9000,45276,1124758162
West Vancouver,British Columbia,49.3667,-123.1667,44122,1124001824
New Tecumseth,Ontario,44.0833,-79.7500,43948,1124001571
Innisfil,Ontario,44.3000,-79.5833,43326,1124001408
Vaudreuil-Dorion,Quebec,45.4000,-74.0333,43268,1124618618
Bradford West Gwillimbury,Ontario,44.1333,-79.6333,42880,1124001093
Salaberry-de-Valleyfield,Quebec,45.2500,-74.1300,42787,1124638758
Rouyn-Noranda,Quebec,48.2333,-79.0167,42313,1124267752
Boucherville,Quebec,45.6000,-73.4500,41743,1124000296
Mission,British Columbia,49.1337,-122.3112,41519,1124502601
Timmins,Ontario,48.4667,-81.3333,41145,1124760634
Lakeshore,Ontario,42.2399,-82.6511,40410,1124001501
Brant,Ontario,43.1167,-80.3667,39474,1124000682
Spruce Grove,Alberta,53.5450,-113.9008,39348,1124943146
Campbell River,British Columbia,50.0244,-125.2475,38108,1124851971
Prince Albert,Saskatchewan,53.2000,-105.7500,37756,1124158154
Penticton,British Columbia,49.4911,-119.5886,36893,1124613898
Sorel-Tracy,Quebec,46.0333,-73.1167,36650,1124000182
East Kelowna,British Columbia,49.8625,-119.5833,36078,1124070905
Leamington,Ontario,42.0667,-82.5833,35730,1124258797
East Gwillimbury,Ontario,44.1333,-79.4167,34637,1124001370
Côte-Saint-Luc,Quebec,45.4687,-73.6673,34504,1124563603
Orangeville,Ontario,43.9167,-80.1167,34177,1124566061
Leduc,Alberta,53.2594,-113.5492,34094,1124170853
Moose Jaw,Saskatchewan,50.3933,-105.5519,33665,1124806868
Port Moody,British Columbia,49.2831,-122.8317,33535,1124252668
Pointe-Claire,Quebec,45.4500,-73.8167,33488,1124470650
Orillia,Ontario,44.6000,-79.4167,33411,1124049830
Stratford,Ontario,43.3708,-80.9819,33232,1124676255
Fort Erie,Ontario,42.9167,-79.0167,32901,1124516852
Val-d’Or,Quebec,48.1000,-77.7833,32752,1124239138
LaSalle,Ontario,42.2167,-83.0667,32721,1124000988
Cochrane,Alberta,51.1890,-114.4670,32199,1124952542
North Cowichan,British Columbia,48.8236,-123.7192,31990,1124000052
Lloydminster,Saskatchewan,53.2783,-110.0050,31582,1124051728
Chambly,Quebec,45.4311,-73.2873,31444,1124345124
Centre Wellington,Ontario,43.7000,-80.3667,31093,1124000849
Okotoks,Alberta,50.7250,-113.9750,30405,1124521470
Alma,Quebec,48.5500,-71.6500,30331,1124138438
Sainte-Julie,Quebec,45.5833,-73.3333,30045,1124000521
Saint-Constant,Quebec,45.3700,-73.5700,29954,1124000054
Langley,British Columbia,49.0986908053773,-122.659728692569,28963,1124000480
Grimsby,Ontario,43.2000,-79.5500,28883,1124989517
Magog,Quebec,45.2667,-72.1500,28312,1124404849
Boisbriand,Quebec,45.6200,-73.8300,28308,1124001940
Whitehorse,Yukon,60.7029,-135.0691,28201,1124348186
Dieppe,New Brunswick,46.0989,-64.7242,28114,1124195431
King,Ontario,44.0463,-79.6044,27333,1124001693
Parksville,British Columbia,49.3150,-124.3120,27330,1124698963
Conception Bay South,Newfoundland and Labrador,47.5167,-52.9833,27168,1124000563
Fort Saskatchewan,Alberta,53.7128,-113.2133,27088,1124769097
Woolwich,Ontario,43.5667,-80.4833,26999,1124000096
Sainte-Thérèse,Quebec,45.6333,-73.8500,26533,1124190411
Clarence-Rockland,Ontario,45.4833,-75.2000,26505,1124000639
La Prairie,Quebec,45.4200,-73.5000,26406,1124956496
Saint-Bruno-de-Montarville,Quebec,45.5333,-73.3500,26273,1124286783
Midland,Ontario,44.7500,-79.8833,26246,1124104490
Thetford Mines,Quebec,46.1000,-71.3000,26072,1124032181
Lincoln,Ontario,43.1300,-79.4300,25719,1124001767
Quispamsis,New Brunswick,45.4322,-65.9462,24881,1124000379
Wasaga Beach,Ontario,44.5206,-80.0167,24862,1124001919
Collingwood,Ontario,44.5000,-80.2167,24811,1124219884
Sept-Îles,Quebec,50.2167,-66.3833,24569,1124406431
Duncan,British Columbia,48.7787,-123.7079,24358,1124316061
Hudson,Quebec,45.4500,-74.1500,24245,1124590540
Saint-Lin--Laurentides,Quebec,45.8500,-73.7667,24030,1124906585
Strathroy-Caradoc,Ontario,42.9575,-81.6167,23871,1124000831
Squamish,British Columbia,49.7017,-123.1589,23819,1124005958
Thorold,Ontario,43.1167,-79.2000,23816,1124718251
Truro,Nova Scotia,45.3647,-63.2800,23583,1124952899
Amherstburg,Ontario,42.1000,-83.0833,23524,1124696938
L’Assomption,Quebec,45.8333,-73.4167,23442,1124500862
Tecumseh,Ontario,42.2431,-82.9256,23300,1124720869
Candiac,Quebec,45.3800,-73.5200,22997,1124457982
Essa,Ontario,44.2500,-79.7833,22970,1124001569
Paradise,Newfoundland and Labrador,47.5333,-52.8667,22957,1124001159
Saint-Lambert,Quebec,45.5000,-73.5167,22761,1124174363
Mount Pearl Park,Newfoundland and Labrador,47.5189,-52.8058,22477,1124869949
Saint-Lazare,Quebec,45.4000,-74.1333,22354,1124000613
Owen Sound,Ontario,44.5667,-80.9333,22318,1124623613
Brockville,Ontario,44.5833,-75.6833,22293,1124286131
Chestermere,Alberta,51.0500,-113.8225,22163,1124000371
Kingsville,Ontario,42.1000,-82.7167,22119,1124616034
Port Alberni,British Columbia,49.2339,-124.8050,21711,1124952808
Springwater,Ontario,44.4333,-79.7333,21701,1124001298
Scugog,Ontario,44.0900,-78.9360,21617,1124000741
Uxbridge,Ontario,44.1167,-79.1333,21556,1124829638
Fort St. John,British Columbia,56.2465,-120.8476,21465,1124517495
Wilmot,Ontario,43.4000,-80.6500,21429,1124001797
Essex,Ontario,42.0833,-82.9000,21216,1124628052
Varennes,Quebec,45.6833,-73.4333,21198,1124232101
Oro-Medonte,Ontario,44.5667,-79.5833,21036,1124001350
Mont-Royal,Quebec,45.5161,-73.6431,20953,1124001920
Beaumont,Alberta,53.3572,-113.4147,20888,1124001210
Baie-Comeau,Quebec,49.2167,-68.1500,20687,1124859576
Riverview,New Brunswick,46.0613,-64.8052,20584,1124000112
Cobourg,Ontario,43.9667,-78.1667,20519,1124831257
Cranbrook,British Columbia,49.5097,-115.7667,20499,1124937794
Yellowknife,Northwest Territories,62.4709,-114.4053,20340,1124208917
South Frontenac,Ontario,44.5081,-76.4939,20188,1124000063
Rivière-du-Loup,Quebec,47.8333,-69.5333,20118,1124662123
Port Colborne,Ontario,42.8833,-79.2500,20033,1124274319
Saint-Augustin-de-Desmaures,Quebec,46.7333,-71.4667,19907,1124000358
Huntsville,Ontario,45.3333,-79.2167,19816,1124961145
Sainte-Marthe-sur-le-Lac,Quebec,45.5300,-73.9300,19797,1124001153
Lloydminster,Alberta,53.2807,-110.0350,19739,1124000858
Westmount,Quebec,45.4833,-73.6000,19658,1124878078
Russell,Ontario,45.2569,-75.3583,19598,1124982538
Les Coteaux,Quebec,45.2800,-74.2300,19582,1124001989
Salmon Arm,British Columbia,50.7022,-119.2722,19432,1124478865
Kirkland,Quebec,45.4500,-73.8667,19413,1124000941
Corner Brook,Newfoundland and Labrador,48.9287,-57.9260,19333,1124244792
New Glasgow,Nova Scotia,45.5926,-62.6455,19316,1124760188
Dorval,Quebec,45.4500,-73.7500,19302,1124933556
Beaconsfield,Quebec,45.4333,-73.8667,19277,1124755118
Pitt Meadows,British Columbia,49.2333,-122.6833,19146,1124786902
Niagara-on-the-Lake,Ontario,43.2553,-79.0717,19088,1124366228
Colwood,British Columbia,48.4236,-123.4958,18961,1124000395
Middlesex Centre,Ontario,43.0500,-81.4500,18928,1124001841
Mont-Saint-Hilaire,Quebec,45.5622,-73.1917,18859,1124333461
Camrose,Alberta,53.0167,-112.8333,18772,1124351657
Selwyn,Ontario,44.4167,-78.3333,18653,1124000937
Tillsonburg,Ontario,42.8667,-80.7333,18615,1124817746
Pelham,Ontario,43.0333,-79.3333,18192,1124000042
Petawawa,Ontario,45.9000,-77.2833,18160,1124206291
Stony Plain,Alberta,53.5264,-114.0069,17993,1124982081
Oak Bay,British Columbia,48.4264,-123.3228,17990,1124761730
North Grenville,Ontario,44.9667,-75.6500,17964,1124000746
Loyalist,Ontario,44.2500,-76.7500,17943,1124001145
Deux-Montagnes,Quebec,45.5333,-73.8833,17915,1124980214
Steinbach,Manitoba,49.5258,-96.6839,17806,1124152692
Saint-Colomban,Quebec,45.7300,-74.1300,17740,1124001676
Miramichi,New Brunswick,47.0196,-65.5072,17692,1124714190
Esquimalt,British Columbia,48.4306,-123.4147,17533,1124990218
Central Saanich,British Columbia,48.5142,-123.3839,17385,1124000519
Sainte-Catherine,Quebec,45.4000,-73.5800,17347,1124941451
Port Hope,Ontario,43.9500,-78.3000,17294,1124105292
Inverness,Nova Scotia,46.2000,-61.1000,17235,1124840965
Saint-Basile-le-Grand,Quebec,45.5333,-73.2833,17053,1124000968
L’Ancienne-Lorette,Quebec,46.8000,-71.3500,16970,1124580674
Swift Current,Saskatchewan,50.2881,-107.7939,16750,1124460875
Pembroke,Ontario,45.8167,-77.1000,16571,1124877940
Edmundston,New Brunswick,47.3765,-68.3253,16437,1124274233
Yorkton,Saskatchewan,51.2139,-102.4628,16280,1124108820
Springfield,Manitoba,49.9292,-96.6939,16142,1124000696
Sylvan Lake,Alberta,52.3083,-114.0964,16142,1124397940
Bracebridge,Ontario,45.0333,-79.3000,16010,1124793645
Summerside,Prince Edward Island,46.4000,-63.7833,16001,1124487102
Canmore,Alberta,51.0890,-115.3590,15990,1124688642
Bathurst,New Brunswick,47.6200,-65.6500,15985,1124816720
Greater Napanee,Ontario,44.2500,-76.9500,15892,1124001319
Lake Country,British Columbia,50.0833,-119.4142,15817,1124001544
Hanover,Manitoba,49.4433,-96.8492,15733,1124001704
Winkler,Manitoba,49.1817,-97.9397,15335,1124205424
Saint-Charles-Borromée,Quebec,46.0500,-73.4667,15285,1124000877
Cowansville,Quebec,45.2000,-72.7500,15234,1124357421
Sainte-Anne-des-Plaines,Quebec,45.7617,-73.8204,15221,1124304532
Gaspé,Quebec,48.8333,-64.4833,15163,1124212754
Sooke,British Columbia,48.3761,-123.7378,15086,1124034713
Kenora,Ontario,49.7667,-94.4833,14967,1124844807
Cold Lake,Alberta,54.4642,-110.1825,14961,1124089461
Brooks,Alberta,50.5642,-111.8989,14924,1124093123
Kentville,Nova Scotia,45.0775,-64.4958,14905,1124530137
Comox,British Columbia,49.6733,-124.9022,14806,1124788300
Pincourt,Quebec,45.3833,-73.9833,14751,1124637966
Mississippi Mills,Ontario,45.2167,-76.2000,14740,1124001617
St. Clair,Ontario,42.7833,-82.3500,14659,1124000228
Terrace,British Columbia,54.5164,-128.5997,14633,1124878479
Mercier,Quebec,45.3200,-73.7500,14626,1124186621
West Lincoln,Ontario,43.0667,-79.5667,14500,1124001460
Lavaltrie,Quebec,45.8833,-73.2833,14425,1124818327
West Nipissing / Nipissing Ouest,Ontario,46.3667,-79.9167,14364,1124000026
Strathmore,Alberta,51.0378,-113.4003,14339,1124000881
High River,Alberta,50.5808,-113.8744,14324,1124607825
Clearview,Ontario,44.3981,-80.0742,14151,1124000053
Lachute,Quebec,45.6500,-74.3333,14100,1124217062
Rosemère,Quebec,45.6369,-73.8000,14090,1124741055
Matane,Quebec,48.8500,-67.5333,13987,1124528318
Thames Centre,Ontario,43.0300,-81.0800,13980,1124000993
Powell River,British Columbia,49.8353,-124.5247,13943,1124154376
Carleton Place,Ontario,45.1333,-76.1333,13940,1124676010
Guelph/Eramosa,Ontario,43.6300,-80.2200,13904,1124001707
Grand Falls,Newfoundland and Labrador,48.9578,-55.6633,13853,1124068277
North Battleford,Saskatchewan,52.7575,-108.2861,13836,1124789635
Mont-Laurier,Quebec,46.5500,-75.5000,13779,1124355399
Central Elgin,Ontario,42.7667,-81.1000,13746,1124000475
Mistassini,Quebec,48.8229,-72.2154,13718,1124980171
Saugeen Shores,Ontario,44.4333,-81.3667,13715,1124000488
Ingersoll,Ontario,43.0392,-80.8836,13693,1124716784
Beauharnois,Quebec,45.3200,-73.8700,13638,1124880971
South Stormont,Ontario,45.0833,-74.9667,13570,1124001793
Bécancour,Quebec,46.3333,-72.4333,13561,1124242297
Severn,Ontario,44.7500,-79.5167,13477,1124489890
Lacombe,Alberta,52.4683,-113.7369,13396,1124057569
Sainte-Sophie,Quebec,45.8200,-73.9000,13375,1124001574
Val-des-Monts,Quebec,45.6500,-75.6667,13328,1124001051
Saint-Amable,Quebec,45.6500,-73.3000,13322,1124000904
Portage La Prairie,Manitoba,49.9728,-98.2919,13270,1124282782
South Glengarry,Ontario,45.2000,-74.5833,13150,1124001506
Sainte-Marie,Quebec,46.4500,-71.0333,13134,1124650507
North Perth,Ontario,43.7300,-80.9500,13130,1124000749
Thompson,Manitoba,55.7433,-97.8553,13035,1124110693
Trent Hills,Ontario,44.3142,-77.8514,12900,1124001755
Trail,British Columbia,49.0950,-117.7100,12863,1124817036
The Nation / La Nation,Ontario,45.3500,-75.0333,12808,1124001243
Amos,Quebec,48.5667,-78.1167,12675,1124939649
Wetaskiwin,Alberta,52.9694,-113.3769,12594,1124492484
West Grey,Ontario,44.1833,-80.8167,12518,1124000272
Warman,Saskatchewan,52.3219,-106.5842,12419,1124688931
Dawson Creek,British Columbia,55.7606,-120.2356,12323,1124081402
Sidney,British Columbia,48.6506,-123.3986,12318,1124421362
Gravenhurst,Ontario,44.9167,-79.3667,12311,1124842372
Prince Rupert,British Columbia,54.3122,-130.3271,12300,1124847707
Perth East,Ontario,43.4700,-80.9500,12261,1124001760
North Saanich,British Columbia,48.6142,-123.4200,12235,1124000779
Prévost,Quebec,45.8700,-74.0800,12171,1124001584
Sainte-Adèle,Quebec,45.9500,-74.1300,12137,1124439200
Sainte-Agathe-des-Monts,Quebec,46.0500,-74.2800,12136,1124041166
Quesnel,British Columbia,52.9784,-122.4927,12110,1124028015
Les Îles-de-la-Madeleine,Quebec,47.3833,-61.8667,12010,1124000721
Taché,Manitoba,49.7081,-96.6736,11916,1124000169
Wellington North,Ontario,43.9000,-80.5700,11914,1124001997
St. Andrews,Manitoba,50.2700,-96.9747,11913,1124001672
Williams Lake,British Columbia,52.1294,-122.1383,11906,1124821980
Gander,Newfoundland and Labrador,48.9569,-54.6089,11880,1124310517
Whistler,British Columbia,50.1208,-122.9544,11854,1124001562
Brighton,Ontario,44.1222,-77.7642,11844,1124672085
Tiny,Ontario,44.6833,-79.9500,11787,1124000103
Hawkesbury,Ontario,45.6000,-74.6000,11755,1124065659
Carignan,Quebec,45.4500,-73.3000,11740,1124001655
Brock,Ontario,44.3167,-79.0833,11642,1124001106
L’Île-Perrot,Quebec,45.3833,-73.9500,11638,1124063001
Summerland,British Columbia,49.6006,-119.6778,11615,1124400731
St. Clements,Manitoba,50.2689,-96.6742,11586,1124000566
View Royal,British Columbia,48.4517,-123.4339,11575,1124001985
Montmagny,Quebec,46.9833,-70.5500,11491,1124025705
Cantley,Quebec,45.5667,-75.7833,11449,1124000263
Erin,Ontario,43.7667,-80.0667,11439,1124418313
Notre-Dame-de-l'Île-Perrot,Quebec,45.3667,-73.9333,11427,1124001191
Kincardine,Ontario,44.1667,-81.6333,11389,1124781881
Elliot Lake,Ontario,46.3833,-82.6500,11372,1124793448
Bromont,Quebec,45.3167,-72.6500,11357,1124286457
Arnprior,Ontario,45.4333,-76.3500,11305,1124700031
North Dundas,Ontario,45.0833,-75.3500,11278,1124000474
Wellesley,Ontario,43.5500,-80.7167,11260,1124590159
Nelson,British Columbia,49.5000,-117.2833,11198,1124361295
Ladysmith,British Columbia,48.9975,-123.8203,11194,1124872385
Coldstream,British Columbia,50.2200,-119.2481,11171,1124000216
Georgian Bluffs,Ontario,44.6500,-81.0333,11100,1124001470
Weyburn,Saskatchewan,49.6611,-103.8525,11019,1124618383
La Tuque,Quebec,48.0652,-74.0528,11001,1124000430
Norwich,Ontario,42.9833,-80.6000,11001,1124219807
Meaford,Ontario,44.5800,-80.7300,10991,1124445257
Adjala-Tosorontio,Ontario,44.1333,-79.9333,10975,1124000498
Hamilton Township,Ontario,44.0540,-78.2164,10942,1124000994
Stratford,Prince Edward Island,46.2167,-63.0893,10927,1124001331
Estevan,Saskatchewan,49.1392,-102.9861,10851,1124416742
South Dundas,Ontario,44.9167,-75.2667,10833,1124001404
Lambton Shores,Ontario,43.1833,-81.9000,10631,1124001891
North Dumfries,Ontario,43.3200,-80.3800,10619,1124000802
Martensville,Saskatchewan,52.2897,-106.6667,10549,1124000654
Mapleton,Ontario,43.7358,-80.6681,10527,1124000835
Rawdon,Quebec,46.0500,-73.7167,10416,1124084263
Morinville,Alberta,53.8022,-113.6497,10385,1124322535
Blackfalds,Alberta,52.3833,-113.8000,10315,1124056144
Chester,Nova Scotia,44.6500,-64.3000,10310,1124772236
Queens,Nova Scotia,44.0333,-64.7167,10307,1124001652
Selkirk,Manitoba,50.1436,-96.8839,10278,1124499880
Saint-Félicien,Quebec,48.6500,-72.4500,10278,1124555496
Roberval,Quebec,48.5200,-72.2300,10227,1124395055
Rideau Lakes,Ontario,44.6667,-76.2167,10207,1124000369
Sechelt,British Columbia,49.4742,-123.7542,10200,1124845591
Bois-des-Filion,Quebec,45.6667,-73.7500,10159,1124978470
North Glengarry,Ontario,45.3333,-74.7333,10109,1124000836
South Huron,Ontario,43.3200,-81.5000,10096,1124000910
Marieville,Quebec,45.4333,-73.1667,10094,1124834229
Penetanguishene,Ontario,44.7667,-79.9333,10077,1124304117
Tay,Ontario,44.7167,-79.7667,10033,1124001057
Castlegar,British Columbia,49.3256,-117.6661,10029,1124379972
Cavan Monaghan,Ontario,44.2000,-78.4667,10016,1124001281
Morden,Manitoba,49.1919,-98.1006,9929,1124327817
Temiskaming Shores,Ontario,47.5167,-79.6833,9920,1124001880
Hinton,Alberta,53.4114,-117.5639,9882,1124131074
Saint-Sauveur,Quebec,45.9000,-74.1700,9881,1124720935
Grey Highlands,Ontario,44.3333,-80.5000,9804,1124000119
East St. Paul,Manitoba,49.9772,-97.0103,9725,1124000695
Stoneham-et-Tewkesbury,Quebec,47.1667,-71.4333,9682,1124000439
Alfred and Plantagenet,Ontario,45.5667,-74.9167,9680,1124001813
Mont-Tremblant,Quebec,46.1167,-74.6000,9646,1124041173
Saint-Zotique,Quebec,45.2500,-74.2500,9618,1124170824
Saint-Raymond,Quebec,46.9000,-71.8333,9615,1124162305
Gibsons,British Columbia,49.4028,-123.5036,9603,1124342069
Amherst,Nova Scotia,45.8167,-64.2167,9548,1124895094
Elizabethtown-Kitley,Ontario,44.7000,-75.8833,9545,1124001450
Smiths Falls,Ontario,44.9000,-76.0167,9517,1124233827
Lorraine,Quebec,45.6833,-73.7833,9502,1124001859
Ramara,Ontario,44.6333,-79.2167,9488,1124000641
Notre-Dame-des-Prairies,Quebec,46.0500,-73.4333,9471,1124001393
Leeds and the Thousand Islands,Ontario,44.4500,-76.0800,9465,1124000531
Brockton,Ontario,44.1667,-81.2167,9461,1124000713
Laurentian Valley,Ontario,45.7681,-77.2239,9450,1124000736
Mono,Ontario,44.0167,-80.0667,9421,1124001904
Sainte-Julienne,Quebec,45.9700,-73.7200,9331,1124086540
Qualicum Beach,British Columbia,49.3500,-124.4333,9303,1124822520
Malahide,Ontario,42.7928,-80.9361,9292,1124001777
Oromocto,New Brunswick,45.8488,-66.4788,9223,1124928183
Whitecourt,Alberta,54.1417,-115.6833,9195,1124641551
Olds,Alberta,51.7928,-114.1067,9184,1124330412
Huron East,Ontario,43.6300,-81.2800,9138,1124000724
Beckwith,Ontario,45.0833,-76.0667,9021,1124000163
Labrador City,Newfoundland and Labrador,52.9500,-66.9167,9011,1124000773
Shelburne,Ontario,44.0833,-80.2000,8989,1124470888
Stanley,Manitoba,49.1331,-98.0656,8981,1124001503
Taber,Alberta,49.7847,-112.1508,8978,1124113583
Donnacona,Quebec,46.6747,-71.7294,8952,1124002794
Corman Park No. 344,Saskatchewan,52.2291,-106.8002,8909,1124000077
L’Epiphanie,Quebec,45.8482664184978,-73.506054079174,8883,1124599436
West Perth,Ontario,43.4700,-81.2000,8865,1124001056
Campbellton,New Brunswick,48.0050,-66.6731,8833,1124336512
Bridgewater,Nova Scotia,44.3700,-64.5200,8790,1124736310
Coaldale,Alberta,49.7333,-112.6167,8771,1124989507
Pont-Rouge,Quebec,46.7500,-71.7000,8723,1124608325
Champlain,Ontario,45.5333,-74.6500,8706,1124000537
Coaticook,Quebec,45.1333,-71.8000,8698,1124454176
Minto,Ontario,43.9167,-80.8667,8671,1124000198
La Pêche,Quebec,45.6833,-75.9833,8636,1124001249
Shediac,New Brunswick,46.2167,-64.5333,8563,1124770042
