REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135657,192.1.2,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135657,192.1.2,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135657,192.1.2,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135657,192.1.2,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135657,192.1.2,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135673,192.1.3,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135673,192.1.3,677,,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135673,192.1.3,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135673,192.1.3,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135673,192.1.3,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135689,192.1.4,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135689,192.1.4,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135689,192.1.4,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135689,192.1.4,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135689,192.1.4,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v42135705,192.4.1,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v42135705,192.4.1,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v42135705,192.4.1,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v42135705,192.4.1,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v42135705,192.4.1,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v42135721,192.4.2,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v42135721,192.4.2,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v42135721,192.4.2,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v42135721,192.4.2,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v42135721,192.4.2,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v42135737,192.4.3,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v42135737,192.4.3,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v42135737,192.4.3,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v42135737,192.4.3,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v42135737,192.4.3,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v42135753,192.4.4,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v42135753,192.4.4,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v42135753,192.4.4,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v42135753,192.4.4,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v42135753,192.4.4,0,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822895,2.3.1,541,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822895,2.3.1,512,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822895,2.3.1,572,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822895,2.3.1,567,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822895,2.3.1,606,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,643,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,654,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,709,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,716,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,765,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,813,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,814,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,844,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,897,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,928,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,829,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,857,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,926,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,942,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,1003,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823431,2.2.1,,F,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823431,2.2.1,,F,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823431,2.2.1,,F,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823431,2.2.1,,F,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823431,2.2.1,,F,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823565,2.2.2,,F,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823565,2.2.2,,F,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823565,2.2.2,,F,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823565,2.2.2,,F,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823565,2.2.2,,F,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823699,2.2.3,,F,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823699,2.2.3,,F,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823699,2.2.3,,F,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823699,2.2.3,,F,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823699,2.2.3,,F,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823833,2.2.4,,F,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823833,2.2.4,,F,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823833,2.2.4,,F,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823833,2.2.4,,F,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823833,2.2.4,,F,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823967,2.1.1,541,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823967,2.1.1,512,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823967,2.1.1,572,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823967,2.1.1,567,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823967,2.1.1,606,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,643,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,654,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,709,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,716,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,765,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,813,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,814,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,844,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,897,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,928,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,829,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,854,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,926,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,942,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,1003,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824548,2.4.1,541,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824548,2.4.1,512,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824548,2.4.1,572,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824548,2.4.1,567,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824548,2.4.1,606,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,670,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,694,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,759,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,757,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,826,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,854,,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,871,,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,903,,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,942,,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,973,,,,0
2020,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825112,2.4.4,,F,,,0
2021,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825112,2.4.4,,F,,,0
2022,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825112,2.4.4,,F,,,0
2023,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825112,2.4.4,,F,,,0
2024,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825112,2.4.4,,F,,,0
2020,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3872738,3.3.1,,F,,,0
2021,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3872738,3.3.1,,F,,,0
2022,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3872738,3.3.1,,F,,,0
2023,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3872738,3.3.1,,F,,,0
2024,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3872738,3.3.1,,F,,,0
2020,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,627,,,,0
2021,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,611,,,,0
2022,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,727,,,,0
2023,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,887,,,,0
2024,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,831,,,,0
2020,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872794,3.3.3,761,,,,0
2021,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872794,3.3.3,796,,,,0
2022,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872794,3.3.3,829,,,,0
2023,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872794,3.3.3,979,,,,0
